pid,id no,,es_print_ no,print,state_no,state,palette_no,palette,impression no,dimensions(wxh),watermark,impression notes,original site of installation,current location (if different),contact,contact_details,inventory_no,website_for_institutional_record,label,status,,Status,,Credit_line ,Status,,Terms_and_conditions,,Status,Request details,Status,Request details,Credit line ,Status,Request details,Terms and conditions,
objID52,flader52,,22,"Lorenz Stör (c.1530–after 1621), Perspective with Well, Undated; Wood: before 1569, when it was used as a model for intarsia (Ulmer Museum, 2124)",I,Trial proof,a,Brown,1,290×195mm. ,,"on the Wolfenbüttel-HAB impression, the monogramme appears both at the far lefthand side and the righthand side", ,DE-Wolfenbüttel-Herzog August Bibliothek,"DE-Wolfenbüttel-Herzog August Bibliothek. Bound in Geometria et perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), 36.2.1 Geom. 2°, fol. [13]r (black lines added by hand)",,"36.2.1 Geom. 2°, fol. [13]r ",https://opac.lbs-braunschweig.gbv.de/DB=2/SET=1/TTL=1/SHW?FRST=8," Lorenz Stor, Geometria et Perspectiva: Hier Jnn Etliche Zerbrochne Gebew den Schrein?r Jn eingelegter Arbait dienstlich auch vil andern Liebhabern zu sond?r gefallen geordnet vnnd gestelt, (Augsburg : Rogel, Hans, 1567), xx",done,,done,,Geometria et Perspectiva by Lorenz Stor. Courtesy of Herzog August Bibliothek Wolfenbüttel: A: 36.2.1 Geom. 2° (2). © Herzog August Bibliothek Wolfenbüttel <http://diglib.hab.de/inkunabeln/14-astron/start.htm>.  Licensed under CC BY-SA 3.0 ( https://creativecommons.org/licenses/by-sa/3.0/de/).,done,,"Explanation
The digital services of the Wolfenbüttel Digital Library, which are available online, are freely available for use by all interested parties worldwide under a CC BY-SA license. In addition to the general restrictions set out in http://creativecommons.org/licenses/by-sa/3.0/de/legalcode, the prerequisite for subsequent use is that a) the author is named in the form described below and that b) the offer is made under the same conditions, i.e. above all free and free of charge.

When attributing (BY), the following must be observed (cf. CC BY-SA, Sections 4.a and 4.c). Guarantees of origin attached in digital copies - typically the baseboard - may not be removed as proof. At the same time, proof must be attached to the offer page at a suitable place, but in any case within the domain of the offer in the following form: If a separate persistent link (PURL, URN, etc.) is used, the persistent link of the Wolfenbüttel Digital Library must be above, below or next to your own persistent link.

In print:

Herzog August Bibliothek Wolfenbüttel <[Persistent URL]>

© Herzog August Bibliothek Wolfenbüttel <http://diglib.hab.de/inkunabeln/14-astron/start.htm>
or
© HAB Wolfenbüttel: 14 Astron. <http://diglib.hab.de/inkunabeln/14-astron/start.htm>

On the Internet (HTML source code):

© Herzog August Bibliothek Wolfenbüttel <<a href=""[Persistent URL]"">Persistent URL</a>> 
or
© HAB Wolfenbüttel <<a href=""[Persistent URL]"">[Signature]</a>> 

e.g.
Herzog August Bibliothek Wolfenb&#x00FC;ttel
<<a href="" http://diglib.hab.de/inkunabeln/14-astron/start.htm"">14 Astron.</a>>


If there is an additional information about the author of a contribution on the page, e.g. © [author name], the following form must be observed:

In print:

© [Author name]. Work originally published by HAB Wolfenbüttel <Persistent URL>

On the Internet (HTML source code):

© [Author name]. Work originally published by HAB Wolfenb&#x00FC;ttel <<a href=""[Persistent URL]"">Persitent URL or Signature</a>>

e.g.
© Flemming Shock. Work originally published by HAB Wolfenb&#x00FC;ttel
<<a href=""http://diglib.hab.de/edoc/ed000155/start.htm"">http://diglib.hab.de/edoc/ed000155/start.htm</a>> 

When making available under the same conditions, it should be noted that the work must be made available freely, free of charge and in a spirit of promoting culture and science. If this is guaranteed, commercial use, e.g. in Wikipedia or an open access, is also possible under CC BY-SA publishing scientific publisher. This license does not cover typical commercial products such as publishing magazines, which users have to purchase for a fee, access-restricted online offers and types of use that are aimed exclusively at advertising or other non-scientific purposes. For all the latter cases, a chargeable special use must be agreed.

Offers that are not freely available on the library's homepage are subject to separate rules of use, which can be requested from the information provided by the library (auskunft@hab.de). In all other respects, the User Regulations for State Libraries and the Fee Schedule for the Libraries of the State of Lower Saxony in the currently valid version in conjunction with the Lower Saxony Administrative Costs Act shall apply.",,to do,,to do,,,to do,,,
objID53,flader53,see flader 89-91,22,"Lorenz Stör (c.1530–after 1621), Perspective with Well, Undated; Wood: before 1569, when it was used as a model for intarsia (Ulmer Museum, 2124)",II,Colour woodcut from two blocks,a,"Black, grey",1,,,, ,N/A-Art market-,hartung and hartung,auctions@hartung-hartung.com,"Hartung & Hartung 1997, no. 4326", , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID54,flader54,,23,"Wolfgang Stuber (fl. 1576–1597), Perspective , ?",I,Colour woodcut from two blocks,a,"Black, red",1,?,,"On the monogram, see Nagler Mon. V.92.442 and Joseph Heller (details not given by Nagler). ", ,"N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006)","N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006). (Maierbach-Legl 2006: on a wooden chest, c.1600-1650, Rupertiwinkel, Bavaria; two impressions)",, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID55,flader55,,24,"Anonymous  (????–????), Johann Friedrich the Magnanimous, Elector of Saxony, Undated; 1569 (Wisse: 'the poem on the front is dated 1569'), c.1570 (Dresden-Stadtmuseum); after 1598 (the altarpiece includes text from Johannes Schihelius, Historia des Lebens Leidens und Sterbens.unsers Herrn Jhesu Christi, first printed by Valentin Kröner in Coburg, 1598; described by Wisse as 'in Old Dutch, not German'). On an altarpiece formerly in the St.-Bartholomäus-Kirche, Dresden.",I,Colour woodcut from three blocks,a,"Black, red-brown",1,?,,,DE-Dresden-St.-Bartholomäus-Kirche (destroyed),DE-Dresden-Stadtmuseum,DE-Dresden-Stadtmuseum,https://www.stmd.de/team,,https://www.stmd.de/slg-ueberblick, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,Please set a reminder to chase monthly in case they open up again. Please also ask the Museums of the City of Dresden when the photo archive will open again—maybe there is an info@ address?
objID56,flader56,,25,"Anonymous  (????–????), Martin Luther, Undated; 1569 (Wisse: 'the poem on the front is dated 1569'), c.1570 (Dresden-Stadtmuseum); after 1598 (the altarpiece includes text from Johannes Schihelius, Historia des Lebens Leidens und Sterbens.unsers Herrn Jhesu Christi, first printed by Valentin Kröner in Coburg, 1598; described by Wisse as 'in Old Dutch, not German'). On an altarpiece formerly in the St.-Bartholomäus-Kirche, Dresden.",I,Colour woodcut from three blocks,a,"Black, red-brown",1,?,,(cut out and pasted onto monochomatic red and brown woodcuts imitating wood grain),DE-Dresden-St.-Bartholomäus-Kirche (destroyed),DE-Dresden-Stadtmuseum,DE-Dresden-Stadtmuseum,https://www.stmd.de/team,,https://www.stmd.de/slg-ueberblick, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,Please set a reminder to chase monthly in case they open up again. Please also ask the Museums of the City of Dresden when the photo archive will open again—maybe there is an info@ address?
objID57,flader57,,26,"Anonymous  (????–????), Christ behind a Pulpit, Undated; 1569 (Wisse: 'the poem on the front is dated 1569'), c.1570 (Dresden-Stadtmuseum); after 1598 (the altarpiece includes text from Johannes Schihelius, Historia des Lebens Leidens und Sterbens.unsers Herrn Jhesu Christi, first printed by Valentin Kröner in Coburg, 1598; described by Wisse as 'in Old Dutch, not German'). On an altarpiece formerly in the St.-Bartholomäus-Kirche, Dresden.",I,Colour woodcut from three blocks,a,"Red, brown, light brown",1,?,,(cut out and pasted onto monochomatic red and brown woodcuts imitating wood grain),DE-Dresden-St.-Bartholomäus-Kirche (destroyed),DE-Dresden-Stadtmuseum,DE-Dresden-Stadtmuseum,https://www.stmd.de/team,,https://www.stmd.de/slg-ueberblick, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,Please set a reminder to chase monthly in case they open up again. Please also ask the Museums of the City of Dresden when the photo archive will open again—maybe there is an info@ address?
objID58,flader58,,27,"Anonymous  (????–????), Head Surrounded by Sunrays, Undated; reconstruction of woodcuts installed in the mid-sixteenth-century (Wisse). ",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,?,,, ,DE-Rodewisch-Renaissanceschloss,DE-Rodewisch-Renaissanceschloss. (many impressions),ljahn55@web.de, ,https://www.rodewisch.de/texte/seite.php?id=92011%20&browser=1, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID59,flader59,,28,"Anonymous  (????–????), Medallion with God the Father Flanked by Angels, Undated; c.1587 (another wallpaper in Kloster Wienhausen is dated 1587). ",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",1,?,,God the Father (identified as Jesus) must be a copy because he signals with his left hand and the angels may be a copy after woodcuts by Hans Sebald Beham in Braunschweig (Appuhn).,DE-Wienhausen-Kloster,DE-Wienhausen-Kloster,,klosterarchive@kloster-wienhausen.de,,https://www.kloster-wienhausen.de/uebersicht/klosterarchive.10.0.0.html,"Kloster Wienhausen, Äbtissinnenzelle, Deckenvertäfelung (westliches Feld) Datei: IMG_0020_a-kl.jpg",done,,done,,Copyright: Kloster Wienhausen,done,,"Will be used only for scholarly purpose within the academic Projekt „Fladerpapier: Art, Craft, and the Earliest Mass-Produced Wallpaper in the West”. 
For this purpose, the convent of Wienhausen grants permission to use these images in the supplied resolution (900 pixels on the long side) on the website of the project. No further use is allowed, especialy no posting on the internet. All further rights reserved to the mentioned convent above.
",,to do,,to do,,,to do,,,Please let me know when the website is live.
objID60,flader60,,28,"Anonymous  (????–????), Medallion with God the Father Flanked by Angels, Undated; c.1587 (another wallpaper in Kloster Wienhausen is dated 1587). ",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",2,?,,God the Father (identified as Jesus) must be a copy because he signals with his left hand and the angels may be a copy after woodcuts by Hans Sebald Beham in Braunschweig (Appuhn).,DE-Wienhausen-Kloster,DE-Wienhausen-Kloster,,klosterarchive@kloster-wienhausen.de, ,https://www.kloster-wienhausen.de/uebersicht/klosterarchive.10.0.0.html,"Kloster Wienhausen, Äbtissinnenzelle, Deckenvertäfelung (östliches Feld) Datei: IMG_0032_a-kl.jpg",done,,done,,Copyright: Kloster Wienhausen,done,,"Will be used only for scholarly purpose within the academic Projekt „Fladerpapier: Art, Craft, and the Earliest Mass-Produced Wallpaper in the West”. 
For this purpose, the convent of Wienhausen grants permission to use these images in the supplied resolution (900 pixels on the long side) on the website of the project. No further use is allowed, especialy no posting on the internet. All further rights reserved to the mentioned convent above.
",,to do,,to do,,,to do,,,Please let me know when the website is live.
objID61,flader61,,28,"Anonymous  (????–????), Medallion with God the Father Flanked by Angels, Undated; c.1587 (another wallpaper in Kloster Wienhausen is dated 1587). ",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",3,?,,God the Father (identified as Jesus) must be a copy because he signals with his left hand and the angels may be a copy after woodcuts by Hans Sebald Beham in Braunschweig (Appuhn).,DE-Wienhausen-Kloster,DE-Wienhausen-Kloster,,klosterarchive@kloster-wienhausen.de, ,https://www.kloster-wienhausen.de/uebersicht/klosterarchive.10.0.0.html,"Kloster Wienhausen, Blick in die Äbtissinnenzelle Datei: 42_IMG_1138_b2-kl.jpg",done,,done,,Copyright: Kloster Wienhausen,done,,"Will be used only for scholarly purpose within the academic Projekt „Fladerpapier: Art, Craft, and the Earliest Mass-Produced Wallpaper in the West”. 
For this purpose, the convent of Wienhausen grants permission to use these images in the supplied resolution (900 pixels on the long side) on the website of the project. No further use is allowed, especialy no posting on the internet. All further rights reserved to the mentioned convent above.
",,to do,,to do,,,to do,,,Please let me know when the website is live.
objID62,flader62,,29,"Anonymous  (????–????), Arms of Pleißenland, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID63,flader63,,30,"Anonymous  (????–????), Arms of Markgrafschaft Meißen, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID64,flader64,,31,"Anonymous  (????–????), Arms of Pfalz Thüringen, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID65,flader65,,32,"Anonymous  (????–????), Arms of Herzogtum Sachsen, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID66,flader66,,33,"Anonymous  (????–????), Arms of Pfalz Sachsen, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID67,flader67,,34,"Anonymous  (????–????), Arms of Burggrafschaft Altenburg, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID68,flader68,,35,"Anonymous  (????–????), Arms of Burggrafschaft Magdeburg, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID69,flader69,,36,"Anonymous  (????–????), Arms of Reichs-Erzmarschallamt (Kur), Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID70,flader70,,37,"Anonymous  (????–????), Unknown Saxon Arms, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID71,flader71,,38,"Anonymous  (????–????), Arms of Grafschaft Orlamünde, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 1 (Saxon arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID72,flader72,,39,"Anonymous  (????–????), Arms of Holstein, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID73,flader73,,40,"Anonymous  (????–????), Arms of Dithmarschen, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID74,flader74,,41,"Anonymous  (????–????), Arms of Norway, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID75,flader75,,42,"Anonymous  (????–????), Arms of the Goths, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID76,flader76,,43,"Anonymous  (????–????), Arms of Iceland, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID77,flader77,,44,"Anonymous  (????–????), Arms of Gotland, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID78,flader78,,45,"Anonymous  (????–????), Arms of Denmark, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID79,flader79,,46,"Anonymous  (????–????), Arms of Stormarn, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID80,flader80,,47,"Anonymous  (????–????), Arms of Oldenburg, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID81,flader81,,48,"Anonymous  (????–????), Arms of Schleswig, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID82,flader82,,49,"Anonymous  (????–????), Arms of Sweden, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID83,flader83,,50,"Anonymous  (????–????), Arms of Delmenhorst, Undated; c.1570-75 (Wisse).",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,c.27×37 cm.,,,DE-near Torgau-Schoss Annaburg,,"DE-near Torgau-Schoss Annaburg. Annaburg, Room 2 (Danish arms)",, ,https://annaburg.info/museen/?et_fb=1&PageSpeed=off, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID84,flader84,,51,"Anonymous  (????–????), Strip with Caryatid, Undated; c.1566-1600 (Kobler).",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",1,?,,"Fransiscan Church, Koblenz, Double Seat (Kobler)", ,,,, , , ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,
objID85,flader85,,52,"Anonymous  (????–????), Borders on 'Dresden Chest', Undated; c.1490 (Schubring)",I,Colour woodcut from two blocks,a,"Black, red",1,1608×390mm.,"presumably Frederick Augustus I, King of Saxony (reigned 1806–27; Lugt 5482)","Chestnut chest with five woodcut borders attached, some with details (i.e., a mandolin and a fruit basket) pasted on. ", ,DE-Dresden-Staatliche Kunstsammlungen? (collection not named),DE-Dresden-Staatliche Kunstsammlungen? (collection not named),Angela.Rietschel@skd.museum>,A 1910-197,https://skd-online-collection.skd.museum/Kollektion,"Anonymous, cassone (chest)
Italian (Lombardy), around 1490
Wooden chest, front covered with colored woodcuts. Dimensions of the chest approx. 87 x 186 x 61 cm, dimensions of the picture fields and frame strips on the front
total approx. 48 x 183 cm",done,,done,,"Inv. no. A 1910-197: Kupferstich-Kabinett, Staatliche Kunstsammlungen Dresden, Photo: Herbert Boswank",done,,,,to do,,to do,,,to do,,,"Please note for 85: this must be removed from the database, but can be presented on the website as comparanda"
objID86,flader86,see flader1-4,53,"Anonymous  (????–????), Fantastical Geometrical Border, undated; c.1576-1609",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",1,?,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID87,flader87,see flader1-4,53,"Anonymous  (????–????), Fantastical Geometrical Border, undated; c.1576-1609",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",2,?,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID88,flader88,see flader1-4,53,"Anonymous  (????–????), Fantastical Geometrical Border, undated; c.1576-1609",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",3,?,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID89,flader89,see flader53,54,"Anonymous  (????–????), Wide Border, ?",I,Colour woodcut from two blocks,a,"Black/dark brown, red",1,?,,"Maierbach-Legl 2006: on a wooden chest, c.1600-1650, Rupertiwinkel, Bavaria", ,"N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006)","N/A-Private collection-Rupertiwinkel, Bavaria (see MaierbN86:T91gl 2006)",, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID90,flader90,see flader53,54,"Anonymous  (????–????), Wide Border, ?",I,Colour woodcut from two blocks,a,"Black/dark brown, red",2,?,,"Maierbach-Legl 2006: on a wooden chest, c.1600-1650, Rupertiwinkel, Bavaria", ,"N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006)","N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006)",, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID91,flader91,see flader53,54,"Anonymous  (????–????), Wide Border, ?",I,Colour woodcut from two blocks,a,"Black/dark brown, red",3,?,,"Maierbach-Legl 2006: on a wooden chest, c.1600-1650, Rupertiwinkel, Bavaria", ,"N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006)","N/A-Private collection-Rupertiwinkel, Bavaria (see Maierbach-Legl 2006)",, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID92,flader92,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,,7,25 × 19.1 cm,,, ,US-New York-The MET,US-New York-The MET,scala,1984.1085.2,https://www.metmuseum.org/art/collection/search/718398?ft=lorenz+stoer&amp;offset=0&amp;rpp=40&amp;pos=14,"Lorenz Stoer, Cover Page from Geometria et Perspectiva, (Hans Rogel , Augsburg. 1567), XX",!!!,,!!!,,,!!!,,price not approved for website,,to do,,to do,,,to do,,,
